time,READ Read_LMO,READ Read_RMO,READ Read_anglePIDOutput,READ Read_APIDKp,READ Read_APIDKi,READ Read_APIDKd,READ Read_APIDAggKp,READ Read_APIDAggKi,READ Read_APIDAggKd,READ Read_SPIDKp,READ Read_SPIDKi,READ Read_SPIDKd,READ Read_Yaw,READ Read_Roll,READ Read_Pitch,READ Read_MotorsON,READ Read_LoopT,READ Read_SetsteerGain,READ Read_SetthrottleGain,READ Read_TriggerAngleAggressive,READ Read_Info,READ Read_ISTE,READ Read_BAL,READ FirmwareVersion,READ Read_calibratedZeroAngle,
1414696045329,1.00,0.00,2.67,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.91,1.07,1.76,False,5,0,0,750.00,System,0.08,0.06,0.5,180.00,
1414696045443,1.00,0.00,-4.68,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.92,1.09,2.00,False,6,0,0,750.00,System,0.09,0.05,0.5,180.00,
1414696045563,1.00,0.00,-8.95,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.93,1.07,3.18,False,5,0,0,750.00,System,0.09,0.05,0.5,180.00,
1414696045672,1.00,0.00,-37.64,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.91,1.04,4.70,False,6,0,0,750.00,System,0.17,0.07,0.5,180.00,
1414696045792,-1.00,0.00,-27.07,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.08,0.99,5.96,False,5,0,0,750.00,System,0.18,0.08,0.5,180.00,
1414696045903,-1.00,0.00,-40.82,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.36,0.94,6.20,False,5,0,0,750.00,System,0.27,0.12,0.5,180.00,
1414696046029,-1.00,0.00,-40.28,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.42,0.96,5.96,False,6,0,0,750.00,System,0.35,0.15,0.5,180.00,
1414696046399,-1.00,0.00,-30.49,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.39,0.95,5.52,False,5,0,0,750.00,System,0.27,0.14,0.5,180.00,
1414696046761,-1.00,0.00,-25.94,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.42,0.90,4.55,False,5,0,0,750.00,System,0.24,0.13,0.5,180.00,
1414696046883,-1.00,0.00,-19.84,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.41,0.94,3.16,False,5,0,0,750.00,System,0.18,0.10,0.5,180.00,
1414696047018,-1.00,0.00,-2.28,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.44,0.93,0.85,False,5,0,0,750.00,System,0.11,0.07,0.5,180.00,
1414696047150,1.00,0.00,6.43,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.82,1.00,-0.75,False,5,0,0,750.00,System,0.05,0.04,0.5,180.00,
1414696047262,-1.00,0.00,21.47,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,0.85,1.07,-0.66,False,5,0,0,750.00,System,0.00,0.02,0.5,180.00,
1414696047381,-1.00,0.00,15.54,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.59,0.82,-0.28,False,5,0,0,750.00,System,0.00,0.01,0.5,180.00,
1414696047492,-1.00,0.00,10.23,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.39,0.86,1.36,False,5,0,0,750.00,System,0.01,0.00,0.5,180.00,
1414696047613,-1.00,0.00,-6.65,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.52,0.85,3.91,False,5,0,0,750.00,System,0.04,0.01,0.5,180.00,
1414696047725,-1.00,0.00,-29.37,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,1.65,0.84,5.63,False,5,0,0,750.00,System,0.14,0.05,0.5,180.00,
1414696047846,-1.00,0.00,-35.75,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,2.64,0.76,4.49,False,5,0,0,750.00,System,0.23,0.09,0.5,180.00,
1414696047960,-1.00,0.00,-16.49,728.00,260.00,48.00,1970.00,16.00,551.00,5540.00,1330.00,23.00,2.41,0.82,2.73,False,5,0,0,750.00,System,0.18,0.09,0.5,180.00,
